model,precision,recall,f1,auc,ate
Baseline-RF,0.5314285714285715,0.3522727272727273,0.42369020501138954,0.8670704588014981,0.01130625
CausalForestDML,,,,,0.014607685767422355
RepBalanceNet,0.12944664031620554,0.9924242424242424,0.229020979020979,0.8873957269322438,0.006713626440614462
GAN-Rep,0.16064757160647572,0.9772727272727273,0.27593582887700535,0.8855177477017365,0.012135042808949947
